word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
fat;9680;3.24;18.245;548;2468;3436;828
jerk;9681;3.24;13.024;3944;--;--;3658
missile;9682;3.24;18.905;--;--;3516;--
remorse;9683;3.24;12.707;--;--;--;4641
rot;9684;3.24;16.107;--;--;--;3404
screwed;9685;3.24;16.107;4145;--;--;4908
gangstas;9686;3.23;17.963;--;--;--;4129
captured;9687;3.22;16.073;--;3794;3881;3765
critical;9688;3.22;14.748;4934;1059;1837;--
fell;9689;3.22;14.748;1183;1263;852;644
forget;9690;3.22;12.824;682;2604;2497;357
freezing;9691;3.22;15.556;1878;--;--;3935
ignore;9692;3.22;13.746;3020;--;--;1873
losers;9693;3.22;18.767;--;--;--;4170
lynch;9694;3.22;21.217;--;--;2315;--
wasting;9695;3.22;14.184;3615;--;--;1666
